アプリ名,提供元,ジャンル,評価,評価数,価格,公開日,最終更新,検索語,復習,苦手抽出,解説,スキマ時間,出題条件選択,習熟度可視化,学習記録,ゲーム性,連続日数,模試,ランキング,通知,付箋,オフライン,解答時間,目標設定,キャラクター,用語集
薬理道場,Shunsuke Natani,Education,5,3,100.0,2026-03-18,2026-07-09,薬剤師 国家試験,○,○,,,○,,,○,,,,,○,,,,,
どこでも学習　～  聞いて学ぶ介護福祉（2024）～,GS NET K.K.,Education,4,3,0.0,2023-12-04,2024-10-24,介護福祉士,,,,,,,,,,,,,,,,,,
【解き放題　過去問解説】晶文社のケアマネ'22（アプリ版）,"HORIUCHI INSATSUSHO, K.K.",Education,3,3,0.0,2018-02-01,2022-02-14,ケアマネジャー,○,○,○,○,○,○,,,,○,○,,○,,,,,○
保育士求人｜小学館アカデミー保育園｜中途転職＆新卒採用アプリ,"Shogakukan-Shueisha Productions Co., Ltd.",Education,3.66667,3,0.0,2017-01-30,2017-01-30,保育士/管理栄養士,,,,,,,,,,,,,,,,,,
Nutrition Next,"DRIP, inc.",Education,4,3,0.0,2025-11-03,2026-03-17,管理栄養士,,,,,,,,,,,,,,,,,,
危険物乙6類取扱者試験問題集　りすさんシリーズ,Kazuki Baba,Education,4.66667,3,500.0,2014-08-09,2026-04-26,危険物取扱者,,○,○,,○,,,,,,,,,,,,,○
でんこう！ -電気工事士 第1種・第2種学習アプリ-,Takashi Fujita,Education,3.66667,3,0.0,2025-11-17,2025-12-09,電気工事士,,,○,○,,○,,○,,○,,,,,,,○,
電験三種 理論 過去問 2026 一問一答,Minato Apps,Education,3,3,0.0,2026-06-15,2026-07-26,電験三種,,○,○,○,○,○,,,,,○,,,,,,,
電験３種　電力ラボ,Kaoru Yotsui,Education,5,3,0.0,2026-05-24,2026-07-15,電験三種,○,○,○,○,○,,○,,,,,,,○,,,,
第三種電気主任技術者＜対策シリーズ＞,Katsuhisa Irie,Education,3,3,0.0,2025-03-27,2026-07-20,電験三種,,,,,,,,,,○,,,,,,,,
電験 ガチ 数学,ASUKA MINAMOTO,Education,3.66667,3,0.0,2025-12-16,2025-12-27,電験三種,,,,,,,,,,○,,,,,,,,
電験二種一次 過去問・試験対策｜パスマル,Minato Apps,Education,2.66667,3,0.0,2026-07-05,2026-07-26,電験三種,,○,○,○,,○,,,,,○,,,,,,,
土木施工管理技士2級試験対策の過去問題集アプリ,YUZUKI SUDA,Education,1.66667,3,0.0,2021-03-23,2022-07-19,施工管理技士,,,○,,,,,,,,,,,,,,,
2級建築施工管理技士試験 「30日合格プログラム」,ReCorrect Inc.,Education,4.33333,3,1800.0,2023-11-29,2025-11-19,建築士/施工管理技士,,○,,,,,○,,,○,,,,,,,,
２級土木施工管理技士　過去問コンプリート　2025年版,"HORIUCHI INSATSUSHO, K.K.",Education,2.33333,3,0.0,2025-02-16,2026-03-23,施工管理技士,○,○,○,○,○,○,,,,,,,○,,,,,
SK-NEXT,"sanyu hanbai co.,ltd.",Productivity,1,3,0.0,2020-01-16,2026-01-21,施工管理技士,,,,,,,,,,,,,,,,,,
Anymore施工管理,Anymore Inc.,Productivity,3.66667,3,0.0,2025-08-11,2026-07-15,建築士,,,,,,,,,,,,○,,,,,,
個人でも利用可&多機能な設計・施工管理アプリ,SATOSHI MIYAZAWA,Productivity,5,3,0.0,2022-07-16,2022-12-14,建築士,,,,,,,,,,,,,,,,,,
消防設備士-乙種-7類-試験対策-国家資格,ARKTECH LLC (Japan),Education,3,3,0.0,2026-01-25,2026-01-25,消防設備士,○,○,○,○,,○,,,,○,,,,○,,,,
消防設備士 甲1・乙1 合格ドリル,Shunya Iwasaki,Education,3.66667,3,0.0,2026-06-22,2026-07-27,消防設備士,○,○,○,○,,,,,,○,,,○,○,,,,
消防設備士 甲4 試験対策 一問一答,cocoroom,Education,2,3,0.0,2026-05-11,2026-06-04,消防設備士,○,○,○,○,○,○,,,○,,,,○,○,,,,
ココビ ちびっこ消防士 – 消防安全・運転,KIGLE Inc.,Education,3.66667,3,0.0,2025-07-20,2026-05-26,消防設備士,,,,,,,,,,,,,,,,,,
Steady IT Study：ITパスポート試験対策,"Link Co., Ltd. (Apps)",Education,5,3,0.0,2024-03-14,2026-06-05,ITパスポート,,○,○,○,○,○,,,,,,,○,,,,○,○
ITパスポート 最短合格2000問,"LIBERE CO., LTD.",Education,3.66667,3,0.0,2026-04-01,2026-04-28,ITパスポート,○,○,,○,,,,○,,○,,,,,,,,
ITパスポート 試験対策 アプリ-オンスク.JP,"ONLINE SCHOOL Co.,Ltd",Education,4.66667,3,0.0,2019-05-20,2025-11-13,ITパスポート,○,○,,,,,○,○,,,,,○,,,,,
情報処理安全確保支援士のたまご-パスモン,ryosukE soejimA,Education,4.66667,3,0.0,2025-01-30,2025-01-30,ITパスポート,○,○,,○,,,,○,,,,,○,,○,,,
マーケティング検定 ２級 対策アプリ,Daisuke Matsubara,Education,2,3,700.0,2025-06-23,2025-07-18,ITパスポート,○,○,,○,○,,,,,,,,○,,,,,
ITストラテジストのたまご-パスモン,ryosukE soejimA,Education,5,3,0.0,2025-01-26,2025-01-26,ITパスポート,○,○,,○,,,,○,,,,,○,,○,,,
応用情報技術者問題集,浩 李,Education,3.33333,3,0.0,2022-10-23,2022-11-17,基本情報技術者/応用情報技術者,,,○,○,,,,,,,,,,,,,,
応用情報の王様 ‐ 応用情報技術者試験の受験対策 勉強アプリ,HANAUTA INC.,Education,4.33333,3,0.0,2024-11-26,2026-07-22,基本情報技術者/応用情報技術者/情報セキュリティマネジメント,○,○,○,○,,,,○,,○,,,,,,,,
SFDC 認定アソシエイト 単語帳アプリ,"KIIRONOKAMO, K.K.",Education,3.66667,3,500.0,2024-07-16,2024-07-16,AWS 認定,,,,,,,,,,,,,,○,,,,
LPICレベル1試験対策,Motohiro Fujita,Education,5,3,0.0,2025-12-03,2025-12-04,LPIC,○,○,,○,○,○,,,,○,,,,○,,,,
QC検定 ４級 用語集,Daisuke Matsubara,Education,3.66667,3,300.0,2024-04-30,2026-03-31,QC検定,○,○,,○,○,○,,,,,,,○,,,,,○
QC Scan,Atsushi Kodama,Productivity,3.66667,3,0.0,2018-09-28,2018-11-21,QC検定,,,,,,,,,,,,,,,,,,
日本漢字能力検定8級練習帳,Kiyoshi Koike,Education,4.33333,3,0.0,2015-01-09,2015-01-09,QC検定/漢字検定/漢検,,,,,,,,,,,,,,,,,,
第１種衛生管理者試験問題集　りすさんシリーズ,Kazuki Baba,Education,3.33333,3,500.0,2014-08-30,2026-04-16,衛生管理者,,,○,○,○,,,,,,,,,,,,,○
第二種衛生管理者 過去問&対策集 2026,Minato Apps,Education,3.33333,3,0.0,2026-04-28,2026-07-26,衛生管理者,○,○,○,○,○,○,,,,,,,,,,,,
ボイラー整備士のたまご-パスモン,ryosukE soejimA,Education,4,3,0.0,2025-09-07,2025-09-07,衛生管理者,○,○,,○,,,,○,,,,,○,,○,,,
美容師国試2026 - 図解で攻略！筆記試験過去問,kunihiro matsumoto,Education,1,3,0.0,2025-12-11,2025-12-14,衛生管理者,○,○,○,,○,,,,,,,,,,,,,
HACCPヘルパー,KOUSHI INTEC Inc.,Productivity,2.66667,3,0.0,2018-07-05,2018-07-05,衛生管理者,,,,,,,,,,,,,,,,,,
公論出版－運行管理者 重要問題厳選集 旅客編 '25-'26,"HORIUCHI INSATSUSHO, K.K.",Education,3.66667,3,0.0,2025-07-06,2025-07-07,運行管理者,○,○,○,,,○,,,,○,,,○,,,,,
運行管理者試験問題集「貨物」lite　りすさんシリーズ,Kazuki Baba,Education,3.33333,3,0.0,2014-09-06,2026-04-21,運行管理者,○,○,○,○,○,,,,,,,,,,,,,
英検®2級に出る単語・熟語を覚えられるアプリ,SHOJI DAICHI,Education,5,3,0.0,2026-02-02,2026-06-12,英単語/英検,○,○,○,○,,○,,,,,,,,,,,,
無料英検5級対策アプリの決定版！英検5級AUTHAM,Shun Kushigami,Education,2.66667,3,0.0,2016-04-11,2016-04-11,英検,,,,,,○,,,,,,,,,,,,
Memmoread - TOEIC® Reading,Nuttawee Owat,Education,5,3,600.0,2020-03-16,2026-07-27,TOEIC,,,,,,,,,,,,,,,,,,
TOEIC 英語勉強 ギャル単 英単語 語源,maiku kondo,Education,5,3,0.0,2026-04-08,2026-05-04,TOEIC,,,,,,,,,,,,,,,,,,
AI Botと英語会話 | OPIc、TOEIC、TOEFL,"Open Rhapsody, Inc",Education,4.33333,3,0.0,2023-05-04,2023-05-26,TOEFL,,,,,,,,,,,,○,,,,,,
"Arno: DET, TOEFL, PTE, IELTS",Mugen Inc.,Education,2,3,0.0,2023-09-11,2026-05-08,TOEFL,,,,,,,,,,,,,,,,,,
WordEngine Monsters,Lexxica KK,Education,1.33333,3,0.0,2023-01-30,2025-11-23,TOEFL,,,,,,,,○,,,○,,,,,,○,
共通テスト 2500 英単語,Ryosuke Yokota,Education,5,3,0.0,2026-05-26,2026-07-19,単語帳/英単語,○,○,,○,○,○,,○,○,,,,○,○,,,,○
高校2年生で覚える英単語500 - 英語勉強,Junpei Shimotsu,Education,4.33333,3,0.0,2019-07-01,2024-03-28,英単語,,,,,,,,,,,,,,,,,,
英語勉強 - 中3で覚える英単語400,Junpei Shimotsu,Education,4.33333,3,0.0,2019-07-01,2024-03-28,英単語,,,,,,,,,,,,,,,,,,
赤シート単語帳 英単語/ルート/英語/赤シートアプリ/英会話,Ryu Komahashi,Education,4.66667,3,0.0,2025-03-05,2026-05-20,単語帳/英単語,,○,○,○,,○,,,,,,,,,,,,
高校生 英単語帳,SHINA NAKAMURA,Education,5,3,0.0,2021-06-07,2025-04-09,英単語,,,,,,,,,,,,,,,,,,
中学英単語ターゲット1800（4訂版）for School,MONOKAKIDO Co. Ltd.,Education,3,3,650.0,2021-02-18,2022-03-30,英単語,,○,,,○,○,○,,,,,,,,,,,○
Atango カメラで英単語帳作成,NERDIS LLC,Education,5,3,0.0,2026-03-21,2026-04-17,英単語,○,,,,,,,,,,,,,,,,,○
漢検準２級スピード習熟,Motoki Takata,Education,3.66667,3,0.0,2023-12-13,2025-09-23,漢検,○,○,,,,○,,,,,,,,,○,,,
日本漢字能力検定10級練習帳,Kiyoshi Koike,Education,2.33333,3,0.0,2015-01-30,2015-01-30,漢字検定/漢検,,,,,,,,,,,,,,,,,,
パーツで漢字検索 | 10308字、21万単語,Jungwook Choi,Reference,3.33333,3,0.0,2013-09-12,2026-06-15,漢検,,,,,,,,,,,,,,,,,,○
Jitaku 字宅,Stephane THAO,Education,4.33333,3,0.0,2022-05-17,2025-11-21,漢字検定,,,,,,,,,,,,,,,,,,
ETS 토익기출 수험서,"YBM NET, Inc.",Education,3,3,0.0,2011-11-22,2026-06-18,数検,,,,,,,,,,,,,,,,,,
モンスター数学2マルチプレイ,Makkajai Edu Tech Private Limited,Education,4,3,0.0,2015-12-10,2024-08-14,数検,,,,,,,,,,,,,,,,,,
JLPT模擬試験AIアプリ｜N1-N5合格対策学習,PT APPKEY,Education,5,3,0.0,2024-12-10,2025-04-10,日本語能力試験,,○,,○,,○,,○,,○,,○,,,,○,,
JLPT N2,文芝 王,Education,4.66667,3,500.0,2018-05-19,2024-06-30,日本語能力試験,,,,,,,,,,,,,,,,,,
JLPT N4 Flashcards & Quizzes,NAOYA ONO,Education,5,3,0.0,2020-10-20,2021-03-25,日本語能力試験,,,,,,,,,,,,,,,,,,
JLPT N5 Flashcards & Quizzes,NAOYA ONO,Education,5,3,0.0,2020-10-09,2021-03-26,日本語能力試験,,,,,,,,,,,,,,,,,,
JLPT 漢字ラボ,Takumi Kosaka,Education,5,3,0.0,2026-02-26,2026-04-21,日本語能力試験,,,,○,,,,,,,,,,,,,,
小学生のかん字 1~6年生 四字熟語付き,Sumie Watanabe,Education,3.66667,3,0.0,2022-12-06,2022-12-07,日本語能力試験,,,,,,,,,,,,,,,,,,
日本語能力聴解テスト,YOSHIMICHI IWATA,Education,2.33333,3,0.0,2012-12-10,2017-10-18,日本語能力試験,,,,,,,,○,,,,,,,,,,
NMAT　能力検査対策,RUMAHSAKU CORP.,Education,4.66667,3,800.0,2026-04-09,2026-04-16,日本語能力試験,○,○,○,○,○,○,,,○,○,,○,○,○,,,,
Tsugi-単語マイニング：日本語学 習,Dittman Shum,Education,4,3,0.0,2021-02-02,2026-07-26,日本語能力試験,○,,,,,,,,,,,○,,,,,,
JLPT Vocabulary Dictionary,NAOYA ONO,Education,3.66667,3,0.0,2021-04-04,2021-08-29,日本語能力試験,,,,,,,,,,,,,,,,,,
【公式】日本ビジネス能力認定試験４級！,"ONE TECHNOLOGY JAPAN, K.K.",Education,2,3,0.0,2018-09-24,2018-09-24,日本語能力試験,,,○,,,○,,,,,,,,,,,,
MOS エクセル2019一般対策,"Is-pro Co., Ltd.",Education,3.66667,3,600.0,2023-01-24,2023-01-26,MOS,,○,,,,,,,,,,,,,,,,
MOS Excel 365 対策アプリ,Daisuke Matsubara,Education,4.66667,3,500.0,2025-07-13,2025-07-13,MOS,○,○,,,○,,,,,,,,○,,,,,
フォトマスソルバー Math.AI,HOOZA VIET NAM COMPANY LIMITED,Education,5,3,0.0,2023-05-22,2025-03-26,MOS,,,,,,,,,,,,,,,,,,
マンション管理士 試験対策 問題集,RYOHEI HORIUCHI,Education,2.33333,3,0.0,2026-06-17,2026-06-17,マンション管理士/管理業務主任者,○,○,○,○,○,○,,,,○,,,,,,,,
国内旅行業務取扱管理者 一問一答,cocoroom,Education,4.66667,3,0.0,2026-05-30,2026-06-04,旅行業務取扱管理者/管理業務主任者,○,○,○,○,,○,,,,○,,,○,,,,,
賃管Pass - 賃貸不動産経営管理士 対策,KANDK,Education,4.66667,3,0.0,2026-04-26,2026-07-18,賃貸不動産経営管理士,○,○,○,,○,,,,○,○,,,,,,,,
大家賃貸ノート 家賃・経費・確定申告の管理,"EAGLE TREE, K.K.",Productivity,4.66667,3,0.0,2026-05-22,2026-06-11,賃貸不動産経営管理士,,,,,,,,,,,,○,,○,,,,
【LITE版】国内旅行業務試験 「30日合格プログラム」,ReCorrect Inc.,Education,2.66667,3,0.0,2019-08-03,2026-07-21,旅行業務取扱管理者,,○,,,,,○,,,○,,,,,,,,
公務員試験 数的処理アプリ｜全問解説付き｜一般教養｜数的推理,hayato suzuki,Education,5,3,0.0,2026-06-26,2026-07-12,公務員試験,○,○,,○,○,○,,,,,,,○,,,,,
公務員試験 政治経済の試験対策問題集アプリ,YUZUKI SUDA,Education,3.33333,3,0.0,2021-06-10,2021-12-24,公務員試験,,,,,,,,,,,,,,,,,,
時事問題・一般常識 2026 - 就活転職対策アプリ,CapCat LLC,Education,3.66667,3,0.0,2026-05-04,2026-05-05,公務員試験,,,,,,,,,,,,,,,,,,
高卒認定 世界史A,TATSUYA KAWAGUCHI,Education,1.33333,3,0.0,2023-06-19,2023-06-19,高卒認定,,○,,○,,,○,,,,,,,,,,,
高卒就職ナビ,"FLoW Co., Ltd",Education,5,3,0.0,2025-12-08,2026-06-15,高卒認定,,,,,,,,,,,,,,,,,,
単語帳メーカー - 画像からAIで作成する暗記メーカー,CapCat LLC,Education,5,3,0.0,2026-05-15,2026-06-11,単語帳,○,,,,,,,,,,,,,,,,,
人事単：人事単語帳,Creatopia Inc.,Reference,5,3,0.0,2024-07-08,2025-10-31,単語帳,○,○,,○,,,,,,,,,,,,,,
HSK中国語単語帳11092,JUUVO,Education,4.33333,3,0.0,2026-05-22,2026-07-18,スキマ時間 学習/単語帳,○,,,○,○,,,,,,,,,○,,,,
スライド単語,Hitoshi Hayashi,Education,3.33333,3,0.0,2018-10-02,2021-07-15,単語帳,○,,,,,,○,,,,,,,,,,,
ぜったい覚える！英検５級単語帳,Ben Walker,Education,3.66667,3,0.0,2017-09-22,2026-07-05,単語帳,○,○,,○,,,,,,,,,○,,,,,
FlipCards - Flashcard app for memory training,NOMTEK SP Z O O,Education,5,3,0.0,2011-10-25,2017-09-04,フラッシュカード,,,,,,,,,,,,,,,,,,
KaChiKa - AI単語カード,"Chengdu Yichen Technology Co., Ltd",Education,5,3,0.0,2025-01-08,2026-07-23,フラッシュカード,○,,,,,○,,,,,,,,,,,,
Sổ Tay Tiếng Anh + Flashcard,Nguyen Cong Huy,Education,4,3,0.0,2017-03-28,2023-09-23,フラッシュカード,,,,,,,,,,,,,,,,,,
単語帳で語彙力アップ,Zipo Apps Ltd.,Education,5,3,0.0,2016-10-17,2026-03-12,フラッシュカード,,,,,,,,,,,,○,,,,,,
Flashcards for Kids - First Food Words,Innovative Mobile Apps Ltd,Education,4.66667,3,0.0,2011-06-29,2017-05-15,フラッシュカード,,,,,,,,,,,,,,,,,,
Kotonoba - 読書で出会う知らない言葉の記録帳,Hibiki Arakawa,Book,5,3,0.0,2026-07-03,2026-07-12,学習記録,○,,,,○,,○,,○,,○,,○,,,,,○
タイムカードアプリ - 経過時間計算 -,Takaaki Sasaki,Productivity,3.33333,3,0.0,2018-08-05,2020-07-28,勉強タイマー,,,,,,,,,,,,,,,,,,
PTimer カスタムサウンドで集中するポモドーロタイマー,akira kawakami,Productivity,5,3,0.0,2026-04-27,2026-07-09,勉強タイマー,,,,,,,,,,,,,,,○,,,
年号暗記 - 音声読み上げゴロ暗記カードと１分間特訓テスト,Manami Kano,Education,3.66667,3,600.0,2020-09-05,2026-03-17,スキマ時間 学習,,,,,,○,,,,,,,,,,,,
ゲーム感覚で英語力UP！中学・高校英単語クロスワードパズル,Katsuyuki Hayashi,Education,2.33333,3,0.0,2024-05-29,2024-07-04,スキマ時間 学習,,,,○,,,,○,,,,,,○,,,,
資格コレクト － 資格・検定を集めて管理,Naoto Tazawa,Productivity,5,2,0.0,2026-07-01,2026-07-29,資格,,,,,○,○,,,,,,○,○,○,,,,
ドローン一等 国家資格 学科試験対策,Takuro Fukuma,Education,4,2,0.0,2026-05-22,2026-07-22,一問一答/国家資格/模試/試験対策,○,○,○,,○,○,,,○,○,,,,,,,,
Skylore ドローン国家資格 学科試験対策,Kazuki Kitsukawa,Education,5,2,0.0,2026-06-02,2026-07-26,国家資格/資格,○,○,○,○,○,○,,○,○,○,,,○,,○,○,,
潜水士 国家資格 全肢解説問題集,Takuro Fukuma,Education,5,2,0.0,2026-05-31,2026-07-05,国家資格/資格,○,○,○,,○,○,,,,○,,,,,,,,
ボイラー技士2級過去問集min,Isobe masayuki,Education,3.5,2,0.0,2023-11-27,2025-01-20,資格 過去問/過去問,,,○,○,○,,,,,,,,,,,,,
FP3級 過去問 ファイナンシャルプランナー｜資格APP,Tomoya Tamamura,Education,5,2,0.0,2026-05-01,2026-05-21,ファイナンシャルプランナー/資格 過去問,○,○,○,○,○,○,,,,○,,,○,,,,,
色彩検定3級 一問一答 過去問対策,hayate kakizaki,Education,4,2,0.0,2026-03-30,2026-05-18,資格 過去問,○,○,,○,,,,,,,,,,,,,,
電験三種 過去問｜電気主任技術者・一問一答・模試,Hirotaka Kouso,Education,5,2,0.0,2026-07-10,2026-07-18,模試/資格 過去問/電験三種,○,○,○,○,○,○,,,,○,,,○,,,,,
1級建築施工管理技士 本試験 過去問i,Isobe masayuki,Education,4,2,700.0,2023-11-27,2024-12-18,施工管理技士/資格 過去問,,,○,○,○,,,,,,,,,,,,,
第一種衛生管理者 過去問&対策集 2026,Minato Apps,Education,4,2,0.0,2026-04-28,2026-07-26,衛生管理者/試験対策/資格 過去問/過去問,○,○,○,○,,○,,,,,,,,,,,,
管理業務主任者試験-過去問&解説,Tsukasa Fukagawa,Education,4.5,2,0.0,2024-09-16,2026-06-12,マンション管理士/管理業務主任者/資格 過去問,○,○,○,,,,,,,,,,,,,,,
ボイラー技士2級過去問集 i,Isobe masayuki,Education,2,2,600.0,2023-11-22,2024-12-27,資格 過去問,,,○,○,○,,,,,,,,,,,,,
公害防止管理者 過去問マスター,WAVE TECH SOLUTIONS LIMITED LIABILITY COMPANY,Education,4.5,2,0.0,2026-04-12,2026-07-03,資格 過去問,○,○,○,,,,,,,○,,,,,,,,
第二種衛生管理者 過去問集i,Isobe masayuki,Education,5,2,0.0,2023-12-11,2023-12-12,衛生管理者/資格 過去問,,,○,○,,,,,,,,,,,,,,
社労士 過去問｜最短合格 一問一答アプリ,Akio SHIMURA,Education,5,2,0.0,2017-10-23,2026-04-17,一問一答/社労士/資格 過去問/過去問,○,○,○,○,,,,,○,,,,,,,,,
環境計量士（濃度・共通） 過去問　2023-2024年版,"HORIUCHI INSATSUSHO, K.K.",Education,5,2,0.0,2023-04-25,2025-04-30,資格 過去問/過去問,○,○,○,○,,○,,,,,,,○,,,,,
保育士試験 2026 過去問道場,CapCat LLC,Education,5,2,0.0,2026-05-13,2026-05-13,保育士/資格 過去問,,,,,,,,,,,,,,,,,,
宅建過去問 1問1答 2026年度受験用,ONLY ONE Corp.,Education,5,2,0.0,2026-04-15,2026-07-13,資格 過去問/過去問,,○,○,○,○,○,○,,○,,○,,,,,,,
2級建築施工管理 2026 過去問解説,Daichi Aoki,Education,5,2,0.0,2026-03-31,2026-06-08,資格 過去問/過去問,○,○,○,○,○,,○,,,○,,,,○,,,,
宅建 過去問 2026,Tomohisa Deguchi,Education,4.5,2,0.0,2026-02-04,2026-02-14,宅建士/資格 過去問/過去問,,○,○,○,○,,,,,,,,,,,,,
第二種衛生管理者 過去問｜衛管トレ,Hirotaka Kouso,Education,5,2,0.0,2026-05-08,2026-07-19,衛生管理者/資格 過去問/過去問,○,○,○,○,○,○,,,,,,○,○,○,,,,
サクッとITストラテジスト試験午前II過去問演習【サクトレ】,"DECRYPTION, CO., LTD.",Education,5,2,0.0,2025-01-29,2026-03-11,資格 過去問/過去問,○,○,○,○,,,,,,,,,,,,,,
衛生管理者 第1種・第2種 過去問解説,YUKI SHIIYAMA,Education,5,2,0.0,2026-03-31,2026-03-31,衛生管理者/資格 過去問/過去問,,,○,,○,,,,,○,,,,,,,,○
4級3級アマチュア無線 予想問題集 2026年版,"HORIUCHI INSATSUSHO, K.K.",Education,4.5,2,0.0,2026-02-16,2026-02-17,過去問,○,○,,,,○,,,,,,,○,,,,,
介護福祉士 2027 過去問道場,CapCat LLC,Education,5,2,0.0,2026-05-12,2026-05-12,介護福祉士/看護師 国家試験/過去問,,,,,,,,,,,,,,,,,,
管理業務主任者試験 過去問集,Kenta Momiyama,Education,3.5,2,0.0,2021-08-22,2026-03-05,管理業務主任者/過去問,,○,,,,,,,,,,,,,,,,
司法試験 短答式試験 過去問 問題集,AI Labs E73 Inc.,Education,5,2,0.0,2026-01-19,2026-07-14,司法書士/過去問,○,,○,○,,,○,,,,,,,,,,,
マンション管理士-試験対策-国家資格,ARKTECH LLC (Japan),Education,1,2,0.0,2025-12-28,2025-12-28,マンション管理士/国家資格,○,○,○,○,,○,,,,○,,,,○,,,,
一般計量士-試験対策-国家資格,ARKTECH LLC (Japan),Education,2.5,2,0.0,2026-01-29,2026-01-29,国家資格,○,○,○,○,,○,,,,○,,,,○,,,,
